IC 3652,11593.61046072977,1084.
IC 3653,14691.902911442035,603.
IC 3687,4567.48274185647,354.
IC 3690,131194.3620527409,7617.
IC 3735,11093.885871905211,1895.
IC 381,39378.29759937525,2480.
IC 4051,104692.30135874514,4994.
IC 4182,4568.28230119859,321.
IC 4214,27284.96254982093,2310.
IC 4232,134076.1071816292,9426.
IC 4237,27784.6871386455,2656.
IC 4296,53905.29139650519,3762.
IC 4316,4407.570873432612,720.
IC 4662,2438.655993463848,308.
IC 467,24786.339605698133,2038.
IC 4758,65563.86605378216,4647.
IC 4797,32532.070732478805,2606.
IC 4889,27821.333608492627,2513.
IC 4919,65139.10015328127,0.0141
IC 4943,40677.58153031911,4846.
IC 5084,56768.71329046991,3156.
IC 5152,2132.1582456514525,124.
IC 5179,49372.78937586644,3447.
IC 5269,25386.009112287604,1967.
IC 5270,24986.229441227955,1929.
IC 5271,23886.835345813925,1737.
IC 530,84653.34534688032,4969.
IC 5328,36936.31010865257,3121.
IC 745,18289.919950978863,1135.
IC 750,36779.729737487556,701.
IC 783,18269.930967425884,1312.
Large Magellanic Cloud,49.94181972924778,278.
Leo A,689.3809471828682,24.
Leo I,249.70909864623897,285.
M100,16455.76950851247,1586.
M101,7531.849002763755,241.
M102,12255.661283250993,672.
M104,10848.56652830043,1090.
M105,10874.007052822406,896.
M106,7774.680689167745,448.
M108,13787.618943657364,698.
M109,16851.534264470112,1048.
M110,760.0810996021545,-241.
M31,788.3329711238407,-297.
M32,846.6445033774309,-200.
M33,862.4165917514433,-180.
M49,15269.91768584911,997.
M51,7975.604437639965,463.
M58,21288.26748392622,1518.
M59,16449.82296501821,444.
M60,22314.78507680334,1095.
M61,15932.359668226285,1568.
M63,11336.486687007164,503.
M64,7332.625466685698,408.
M65,10723.703622844614,807.
M66,10382.538783291473,727.
M74,6224.069753809884,659.
M77,18383.491924876485,1137.
M81,3679.2880384561886,-35.
M82,3707.9564490782295,202.
M83,4837.334019821732,515.
M84,17464.54150510364,910.
M85,14203.600598933464,758.
M86,16039.82670236482,-221.
M87,16123.114133835576,1307.
M88,17640.277985506935,2279.
M89,15748.82041680598,322.
M90,17985.182933170825,229.
M91,15909.731734407489,485.
M94,5958.715997144043,309.
M95,10005.735579739738,778.
M96,10728.869650502924,897.
M98,18383.491924876485,-116.
M99,18383.49192487649,2406.
NGC 1023,10565.42711922324,636.
NGC 1024,46574.33167844892,3535.
NGC 1035,17990.085197684126,1240.
NGC 105,64264.582122838314,5133.
NGC 1052,20370.773138844324,1507.
NGC 1055,22087.82682604552,995.
NGC 1058,10594.161283080655,518.
NGC 1079,35180.611053248955,1447.
NGC 1084,18839.61699868588,1411.
NGC 1134,39278.352681610355,3640.
NGC 1156,7795.703585663124,375.
NGC 1160,24286.615016873573,2528.
NGC 1162,41377.19595467351,3939.
NGC 1171,27684.74222088058,2742.
NGC 1172,23272.174101559718,1669.
NGC 1187,21887.93699051569,1395.
NGC 1199,33421.58050058651,2705.
NGC 1201,20188.873388512187,1720.
NGC 1209,33508.199429316104,2600.
NGC 1232,18439.83732762623,1682.
NGC 1253,15991.18684238589,1710.
NGC 1297,28584.24648076479,1550.
NGC 1313,4090.245759529016,456.
NGC 1316,18389.864868743778,1793.
NGC 1326,16871.368418168884,1360.
NGC 1331,22887.386168164812,1375.
NGC 1332,24286.615016873573,1524.
NGC 1336,19639.17634080517,1421.
NGC 1339,22030.358498330694,1367.
NGC 1350,22537.57895598761,1905.
NGC 1351,21813.97775136966,1511.
NGC 1353,27684.74222088058,1525.
NGC 1365,18012.07307959241,1636.
NGC 1366,19889.038635217454,1310.
NGC 1373,19689.148799687628,1385.
NGC 1374,20218.856863841662,1352.
NGC 1375,19522.573936746106,740.
NGC 1379,18524.79050772641,1324.
NGC 1380,17790.1953621543,1877.
NGC 1381,17340.4432322122,1724.
NGC 1386,15891.241924620981,868.
NGC 1387,19689.148799687624,1302.
NGC 1389,18989.534375333245,986.
NGC 1395,21068.388664843413,1664.
NGC 1399,19510.675732250285,1422.
NGC 1400,25975.684127100583,545.
NGC 1404,19209.41319441605,1942.
NGC 1407,24626.427737274276,1779.
NGC 1411,19789.093717452546,1022.
NGC 1419,21290.766106870342,1560.
NGC 1425,21646.958688793628,1513.
NGC 1426,22877.391676388317,1443.
NGC 1427,22330.550197760298,1416.
NGC 1439,26438.762246078008,1670.
NGC 1448,19339.341587510437,1163.
NGC 147,700.2807238061489,-193.
NGC 150,19988.983552982372,1583.
NGC 1521,63898.117424366974,4165.
NGC 1527,18042.556279510707,1199.
NGC 1530,18489.809786508686,2461.
NGC 1533,21388.212401691126,790.
NGC 1537,20383.76597815377,1381.
